target_intended_observed,model,subset,f1_score,f1_score_anger,f1_score_happy,f1_score_neutral,f1_score_sad,recall,recall_anger,recall_happy,recall_neutral,recall_sad
observed,deepaffect,male,0.19192,0.03333,0.00000,0.73435,0.00000,0.22226,0.01754,0.00000,0.87149,0.00000
observed,deepaffect,female,0.21971,0.16129,0.09231,0.62526,0.00000,0.26851,0.09091,0.07895,0.90419,0.00000
observed,deepaffect,cauc,0.20735,0.11765,0.02564,0.68611,0.00000,0.25447,0.06494,0.02439,0.92857,0.00000
observed,deepaffect,non-cauc,0.20227,0.05405,0.07143,0.68362,0.00000,0.23822,0.02857,0.11765,0.80667,0.00000
intended,deepaffect,male,0.10429,0.06780,0.06504,0.28431,0.00000,0.24214,0.03571,0.05405,0.87879,0.00000
intended,deepaffect,female,0.10654,0.14493,0.07843,0.20282,0.00000,0.26426,0.08065,0.05333,0.92308,0.00000
intended,deepaffect,cauc,0.11091,0.13187,0.08696,0.22481,0.00000,0.26679,0.07229,0.05941,0.93548,0.00000
intended,deepaffect,non-cauc,0.09788,0.05405,0.04598,0.29150,0.00000,0.22686,0.02857,0.04167,0.83721,0.00000
observed,empath,male,0.24077,0.06667,0.05714,0.71429,0.12500,0.24613,0.03509,0.05000,0.76305,0.13636
observed,empath,female,0.18828,0.03448,0.06154,0.59459,0.06250,0.21399,0.01818,0.05263,0.72455,0.06061
observed,empath,cauc,0.21654,0.05063,0.08108,0.66126,0.07317,0.23527,0.02597,0.07317,0.76692,0.07500
observed,empath,non-cauc,0.21230,0.05128,0.00000,0.66460,0.13333,0.21881,0.02857,0.00000,0.71333,0.13333
intended,empath,male,0.14495,0.03390,0.06742,0.30372,0.17476,0.24458,0.01786,0.04054,0.80303,0.11688
intended,empath,female,0.10237,0.00000,0.09804,0.21505,0.09639,0.22821,0.00000,0.06667,0.76923,0.07692
intended,empath,cauc,0.11355,0.00000,0.10448,0.22760,0.12214,0.22931,0.00000,0.06931,0.75806,0.08989
intended,empath,non-cauc,0.15077,0.05128,0.03509,0.33488,0.18182,0.25290,0.02857,0.02083,0.83721,0.12500
observed,vokaturi,male,0.25042,0.23656,0.13699,0.49221,0.13592,0.29856,0.19298,0.25000,0.36239,0.38889
observed,vokaturi,female,0.16406,0.20225,0.17341,0.03922,0.24138,0.19935,0.16364,0.39474,0.02027,0.21875
observed,vokaturi,cauc,0.21530,0.21138,0.15476,0.32558,0.16949,0.23939,0.16883,0.31707,0.20851,0.26316
observed,vokaturi,non-cauc,0.24608,0.23729,0.17949,0.38150,0.18605,0.29925,0.20000,0.41176,0.25191,0.33333
intended,vokaturi,male,0.28372,0.28571,0.20635,0.35503,0.28777,0.30984,0.23636,0.17808,0.45455,0.37037
intended,vokaturi,female,0.19459,0.16667,0.32381,0.04545,0.24242,0.20200,0.12903,0.45333,0.02564,0.20000
intended,vokaturi,cauc,0.25298,0.23437,0.25551,0.23437,0.28767,0.25826,0.18293,0.29000,0.24194,0.31818
intended,vokaturi,non-cauc,0.28686,0.20339,0.33028,0.37647,0.23729,0.29213,0.17143,0.37500,0.37209,0.25000
