target_intended_observed,model_intended_observed,model,subset,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_anger_mean,f1_score_anger_std,f1_score_anger_ci_lower,f1_score_anger_ci_upper,f1_score_disgust_mean,f1_score_disgust_std,f1_score_disgust_ci_lower,f1_score_disgust_ci_upper,f1_score_fear_mean,f1_score_fear_std,f1_score_fear_ci_lower,f1_score_fear_ci_upper,f1_score_happy_mean,f1_score_happy_std,f1_score_happy_ci_lower,f1_score_happy_ci_upper,f1_score_neutral_mean,f1_score_neutral_std,f1_score_neutral_ci_lower,f1_score_neutral_ci_upper,f1_score_sad_mean,f1_score_sad_std,f1_score_sad_ci_lower,f1_score_sad_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,recall_anger_mean,recall_anger_std,recall_anger_ci_lower,recall_anger_ci_upper,recall_disgust_mean,recall_disgust_std,recall_disgust_ci_lower,recall_disgust_ci_upper,recall_fear_mean,recall_fear_std,recall_fear_ci_lower,recall_fear_ci_upper,recall_happy_mean,recall_happy_std,recall_happy_ci_lower,recall_happy_ci_upper,recall_neutral_mean,recall_neutral_std,recall_neutral_ci_lower,recall_neutral_ci_upper,recall_sad_mean,recall_sad_std,recall_sad_ci_lower,recall_sad_ci_upper
intended,intended,svm,male,0.40759,0.01256,0.40509,0.41010,0.63731,0.02387,0.63255,0.64207,0.33411,0.03283,0.32756,0.34065,0.33813,0.02770,0.33261,0.34366,0.31919,0.03051,0.31311,0.32528,0.37260,0.03280,0.36606,0.37914,0.44422,0.02640,0.43896,0.44949,0.35070,0.01269,0.34817,0.35323,0.58917,0.03225,0.58274,0.59560,0.27161,0.03406,0.26482,0.27840,0.28203,0.02885,0.27628,0.28778,0.24895,0.02951,0.24306,0.25483,0.31428,0.03535,0.30723,0.32134,0.39816,0.03294,0.39159,0.40473
intended,intended,svm,female,0.43036,0.01478,0.42741,0.43331,0.66614,0.02867,0.66042,0.67186,0.32105,0.03279,0.31452,0.32759,0.33898,0.03290,0.33242,0.34554,0.44859,0.03451,0.44171,0.45547,0.35897,0.03843,0.35131,0.36664,0.44842,0.03186,0.44207,0.45477,0.37106,0.01471,0.36812,0.37399,0.61252,0.03627,0.60529,0.61976,0.25737,0.02956,0.25148,0.26327,0.27319,0.03207,0.26679,0.27958,0.39250,0.04083,0.38436,0.40064,0.29493,0.03931,0.28709,0.30277,0.39584,0.03954,0.38795,0.40372
intended,intended,svm,cauc,0.42028,0.01034,0.41822,0.42234,0.66108,0.02259,0.65657,0.66558,0.32511,0.02639,0.31984,0.33037,0.33445,0.02469,0.32952,0.33937,0.38901,0.02732,0.38357,0.39446,0.37065,0.02983,0.36470,0.37660,0.44139,0.02593,0.43622,0.44657,0.36070,0.01104,0.35850,0.36290,0.60580,0.03022,0.59977,0.61183,0.25745,0.02543,0.25238,0.26252,0.27700,0.02497,0.27202,0.28198,0.32106,0.02883,0.31531,0.32681,0.30708,0.03216,0.30066,0.31349,0.39582,0.03112,0.38962,0.40203
intended,intended,svm,non-cauc,0.41610,0.01766,0.41257,0.41962,0.63112,0.03549,0.62405,0.63820,0.33319,0.03975,0.32526,0.34112,0.34704,0.03780,0.33951,0.35458,0.37231,0.04150,0.36403,0.38058,0.35663,0.04083,0.34849,0.36477,0.45627,0.03576,0.44914,0.46340,0.35897,0.01824,0.35533,0.36261,0.58880,0.04383,0.58006,0.59754,0.27937,0.03983,0.27143,0.28731,0.27960,0.03762,0.27210,0.28710,0.30610,0.04207,0.29771,0.31449,0.30062,0.04295,0.29205,0.30918,0.39933,0.04433,0.39049,0.40817
intended,intended,cnn_lstm,male,0.55987,0.01508,0.55686,0.56288,0.71301,0.02542,0.70794,0.71808,0.50022,0.03147,0.49394,0.50649,0.46157,0.04018,0.45356,0.46958,0.54065,0.03470,0.53373,0.54757,0.61154,0.02751,0.60606,0.61703,0.53224,0.03536,0.52519,0.53929,0.54362,0.01747,0.54014,0.54711,0.72065,0.05775,0.70914,0.73217,0.45897,0.05708,0.44759,0.47035,0.41996,0.07067,0.40587,0.43406,0.51393,0.06554,0.50086,0.52700,0.60852,0.06693,0.59517,0.62187,0.53970,0.07230,0.52528,0.55412
intended,intended,cnn_lstm,female,0.60375,0.01309,0.60114,0.60636,0.73132,0.02866,0.72560,0.73703,0.52911,0.03956,0.52122,0.53700,0.53069,0.03255,0.52420,0.53718,0.59243,0.03332,0.58579,0.59908,0.67640,0.02694,0.67102,0.68177,0.56259,0.03088,0.55643,0.56874,0.58793,0.01564,0.58481,0.59105,0.74525,0.06445,0.73239,0.75810,0.46747,0.06020,0.45547,0.47947,0.49559,0.06734,0.48216,0.50902,0.56938,0.06263,0.55689,0.58187,0.67687,0.06329,0.66424,0.68949,0.57302,0.06832,0.55939,0.58664
intended,intended,cnn_lstm,cauc,0.58091,0.01400,0.57812,0.58370,0.72514,0.02534,0.72009,0.73020,0.49771,0.03484,0.49076,0.50466,0.49580,0.03406,0.48900,0.50259,0.56499,0.03021,0.55896,0.57101,0.64675,0.02828,0.64111,0.65239,0.55506,0.02795,0.54949,0.56064,0.56338,0.01702,0.55999,0.56678,0.72074,0.06258,0.70826,0.73322,0.44244,0.05812,0.43085,0.45403,0.46184,0.06823,0.44823,0.47544,0.54565,0.06367,0.53296,0.55835,0.63418,0.06537,0.62115,0.64722,0.57544,0.06679,0.56212,0.58876
intended,intended,cnn_lstm,non-cauc,0.58021,0.01689,0.57684,0.58357,0.71505,0.02712,0.70964,0.72046,0.54616,0.03583,0.53901,0.55330,0.49259,0.04280,0.48406,0.50113,0.56548,0.04170,0.55716,0.57379,0.63321,0.02756,0.62771,0.63870,0.52875,0.04231,0.52031,0.53719,0.56681,0.01714,0.56339,0.57023,0.75370,0.05764,0.74221,0.76520,0.50640,0.05923,0.49459,0.51821,0.44343,0.06987,0.42949,0.45736,0.52856,0.06547,0.51550,0.54162,0.65467,0.05866,0.64297,0.66636,0.51410,0.07055,0.50003,0.52817
intended,intended,cnn_lstm_attention,male,0.57233,0.01432,0.56948,0.57519,0.72192,0.02438,0.71706,0.72679,0.51968,0.03178,0.51335,0.52602,0.47736,0.03706,0.46997,0.48475,0.53791,0.03910,0.53011,0.54571,0.62761,0.03144,0.62134,0.63388,0.54952,0.02905,0.54372,0.55531,0.55212,0.01522,0.54909,0.55516,0.72777,0.05381,0.71704,0.73850,0.47217,0.05950,0.46030,0.48404,0.43680,0.06903,0.42303,0.45057,0.49777,0.07312,0.48319,0.51236,0.61834,0.06904,0.60457,0.63211,0.55987,0.06671,0.54657,0.57318
intended,intended,cnn_lstm_attention,female,0.61555,0.01487,0.61259,0.61852,0.73402,0.02421,0.72920,0.73885,0.54567,0.04603,0.53649,0.55485,0.54433,0.03546,0.53726,0.55140,0.60320,0.03323,0.59658,0.60983,0.68326,0.03279,0.67672,0.68980,0.58284,0.02715,0.57742,0.58825,0.59636,0.01710,0.59295,0.59977,0.75146,0.05679,0.74013,0.76278,0.47773,0.07345,0.46309,0.49238,0.51466,0.06586,0.50153,0.52780,0.56563,0.06191,0.55328,0.57798,0.67016,0.06658,0.65688,0.68344,0.59854,0.05805,0.58696,0.61011
