target_intended_observed,model_intended_observed,model,bootstrap,subset,f1_score,f1_score_anger,f1_score_disgust,f1_score_fear,f1_score_happy,f1_score_neutral,f1_score_sad,recall,recall_anger,recall_disgust,recall_fear,recall_happy,recall_neutral,recall_sad
observed,intended,cnn_lstm,0,male,0.38981,0.62694,0.42424,0.38431,0.33673,0.35135,0.21530,0.48277,0.62694,0.42105,0.50515,0.55932,0.21697,0.56716
observed,intended,cnn_lstm,0,female,0.42038,0.68362,0.34951,0.37113,0.42194,0.42637,0.26974,0.44841,0.67222,0.39560,0.41221,0.56180,0.28253,0.36607
observed,intended,cnn_lstm,0,cauc,0.39968,0.66225,0.36013,0.36317,0.40134,0.37662,0.23454,0.45022,0.64655,0.38356,0.41765,0.59406,0.23967,0.41985
observed,intended,cnn_lstm,0,non-cauc,0.41783,0.64111,0.45283,0.41290,0.34328,0.40153,0.25532,0.48520,0.65248,0.46154,0.55172,0.48936,0.25610,0.50000
intended,intended,cnn_lstm,0,male,0.56596,0.73096,0.49577,0.45970,0.55689,0.60661,0.54583,0.55125,0.71642,0.39286,0.43503,0.47208,0.61585,0.67526
intended,intended,cnn_lstm,0,female,0.58172,0.71429,0.49191,0.52280,0.56962,0.66061,0.53107,0.56734,0.68421,0.39175,0.50888,0.53571,0.70323,0.58025
intended,intended,cnn_lstm,0,cauc,0.56734,0.72500,0.47748,0.48052,0.55656,0.62613,0.53833,0.55059,0.67181,0.37993,0.46058,0.50410,0.65258,0.63454
intended,intended,cnn_lstm,0,non-cauc,0.58823,0.71942,0.52727,0.51485,0.57692,0.64840,0.54251,0.57699,0.75758,0.41727,0.49524,0.49587,0.66981,0.62617
observed,intended,cnn_lstm,1,male,0.34451,0.63456,0.37450,0.27797,0.25185,0.35871,0.16949,0.42929,0.61878,0.38525,0.40196,0.57627,0.22309,0.37037
observed,intended,cnn_lstm,1,female,0.40445,0.63576,0.29661,0.31111,0.42991,0.42105,0.33225,0.45433,0.65306,0.31818,0.34711,0.65714,0.27387,0.47664
observed,intended,cnn_lstm,1,cauc,0.36666,0.61972,0.32362,0.26776,0.34808,0.37309,0.26768,0.44182,0.61972,0.33784,0.34752,0.67045,0.23371,0.44167
observed,intended,cnn_lstm,1,non-cauc,0.38491,0.66376,0.35955,0.34171,0.28966,0.40989,0.24490,0.44562,0.66087,0.38095,0.41463,0.51220,0.26606,0.43902
